manzent,predios_estrategicos,num_predios_estrategicos,tipo_control,num_combis_consideradas,num_combis_disponibles,num_predios_considerados,num_predios_disponibles
13120031003004,[151050016200036],1,sin_control,9,9,30,30
13120031003005,[151050006200010],1,sin_control,10,10,11,11
13120031003006,[151050006400005],1,sin_control,13,13,8,8
13120041001004,[151050396900020],1,con_control,3,3,5,5
13120041001005,[151050397100005],1,sin_control,18,18,8,8
13120041002003,"[151050526900264, 151050526900280, 151050526900281]",3,sin_control,13,13,13,13
13120041002004,"[151050526900100, 151050526900101, 151050526900104, 151050526900108]",4,sin_control,1,1,4,4
13120041002009,"[151050546900031, 151050546900032]",2,sin_control,3,3,4,4
13120041002010,[151050546900012],1,sin_control,24,24,21,21
13120041002014,[151050526800013],1,sin_control,20,20,33,33
13120041003001,[151050516000010],1,sin_control,35,35,12,12
13120041003002,"[151050536300007, 151050536300008]",2,sin_control,3,3,6,6
13120041003003,[151050546300016],1,sin_control,32,32,24,24
13120041003005,[151050536200018],1,sin_control,16,16,17,17
13120041003006,[151050546200005],1,sin_control,10,10,12,12
13120041003007,[151050536100005],1,sin_control,20,20,16,16
13120041003008,[151050536000005],1,sin_control,8,8,12,12
13120041003011,"[151050546000009, 151050546000010]",2,sin_control,9,9,12,12
13120041003012,"[151050546100005, 151050546100006]",2,sin_control,8,8,12,12
13120041003014,[151050556300011],1,sin_control,17,17,16,16
13120041003015,"[151050556400004, 151050556400005]",2,sin_control,11,11,12,12
13120041003017,"[151050566300007, 151050566300008, 151050566300009]",3,sin_control,3,3,6,6
13120041003018,"[151050566200003, 151050566200004]",2,sin_control,11,11,12,12
13120041003019,"[151050566100004, 151050566100012]",2,sin_control,7,7,14,14
13120041003020,"[151050556200005, 151050556200006]",2,sin_control,8,8,12,12
13120041003022,[151050556100017],1,sin_control,10,10,17,17
13120041003023,"[151050566000005, 151050566000006]",2,sin_control,8,8,12,12
13120041003026,[151050576000019],1,sin_control,39,39,27,27
13120041003028,[151050576200025],1,sin_control,50,55,28,28
13120041003029,[151050586300018],1,sin_control,28,28,22,22
13120041003030,[151050586200029],1,sin_control,18,18,14,14
13120041003031,[151050586200005],1,sin_control,19,19,14,14
13120041003033,[151050586100004],1,sin_control,19,19,14,14
13120041003034,[151050586100028],1,sin_control,18,18,14,14
13120041003036,[151050586000006],1,sin_control,32,32,24,24
13120041003037,[151050596000007],1,sin_control,44,44,28,28
13120041003038,[151050596100023],1,sin_control,29,29,25,25
13120041004001,[151050516000003],1,con_control,3,3,5,5
13120041004002,[151050396200008],1,sin_control,8,8,9,9
13120041004003,[151050406200013],1,sin_control,5,5,14,14
13120041004004,"[151050416200001, 151050416200002, 151050416200012, 151050416200013]",4,sin_control,5,5,11,11
13120041004005,[151050436200005],1,sin_control,10,10,18,18
13120041004006,"[151050446200001, 151050446200002]",2,sin_control,5,5,11,11
13120041004007,[151050456200003],1,sin_control,9,9,14,14
13120041005001,[151050536400013],1,sin_control,24,24,13,13
13120041005002,"[151050536500005, 151050536500006, 151050536500007, 151050536500008]",4,sin_control,3,3,8,8
13120041005003,"[151050536600001, 151050536600002, 151050536600003, 151050536600006]",4,sin_control,3,3,8,8
13120041005004,"[151050536700004, 151050536700005]",2,sin_control,11,11,12,12
13120041005005,[151050566900021],1,sin_control,23,23,23,23
13120041005006,"[151050567000004, 151050567000005]",2,sin_control,5,5,14,14
13120041005007,[151050567100045],1,sin_control,7,7,16,16
13120041005008,"[151050546700005, 151050546700006, 151050546700007, 151050546700008]",4,sin_control,3,3,8,8
13120041005009,"[151050546600004, 151050546600010]",2,sin_control,6,6,12,12
13120041005011,"[151050546500009, 151050546500010]",2,sin_control,15,15,12,12
13120041005014,"[151050556500003, 151050556500004]",2,sin_control,3,3,8,8
13120041005015,"[151050556600009, 151050556600010]",2,sin_control,6,6,12,12
13120041005016,"[151050556700003, 151050556700004]",2,sin_control,15,15,12,12
13120041005017,"[151050556800001, 151050556800002, 151050556800003, 151050556800004]",4,sin_control,3,3,8,8
13120041005018,"[151050566700003, 151050566700004, 151050566700009, 151050566700010]",4,sin_control,5,5,12,12
13120041005019,"[151050566600001, 151050566600002, 151050566600003, 151050566600004]",4,sin_control,3,3,8,8
13120041005020,"[151050566500005, 151050566500006, 151050566500007, 151050566500008]",4,sin_control,3,3,8,8
13120041005022,[151050576400006],1,sin_control,30,30,23,23
13120041005023,[151050576500003],1,sin_control,41,41,24,24
13120041005025,[151050576600005],1,sin_control,34,34,23,23
13120041005026,[151050576700005],1,sin_control,27,27,18,18
13120041005027,[151050576800015],1,sin_control,50,53,24,24
13120041005028,[151050576800043],1,sin_control,29,29,24,24
13120041005029,[151050576900004],1,sin_control,15,15,14,14
13120041005031,[151050587000005],1,sin_control,16,16,17,17
13120041005032,[151050586900004],1,sin_control,17,17,19,19
13120041005033,[151050586800007],1,sin_control,50,60,23,24
13120041005034,[151050586800032],1,sin_control,30,30,24,24
13120041005035,[151050586700018],1,sin_control,31,31,24,24
13120041005036,[151050586600004],1,sin_control,27,27,23,23
13120041005037,[151050586400017],1,sin_control,32,32,23,23
13120041005039,[151050596600006],1,sin_control,50,53,24,24
13120041005040,[151050596600029],1,sin_control,32,32,24,24
13120041005041,[151050606600005],1,sin_control,19,19,16,16
13120041005043,[151050606700021],1,sin_control,19,19,20,20
13120041005045,[151050596700019],1,sin_control,27,27,23,23
13120041005047,[151050596900017],1,sin_control,16,16,22,22
13120041005049,[151050616800020],1,sin_control,25,25,24,24
13120041005050,[151050616800044],1,sin_control,29,29,23,23
13120051001001,"[151050394300004, 151050394300005]",2,sin_control,1,1,2,2
13120051001002,"[151050394900020, 151050394900021]",2,sin_control,3,3,8,8
13120051001004,[151050515000017],1,sin_control,21,21,19,19
13120051001005,[151050514900022],1,sin_control,48,48,23,23
13120051001006,"[151050514300047, 151050514300048]",2,sin_control,2,2,6,6
13120051001007,[151050564300042],1,sin_control,37,37,33,33
13120051001009,[151050564900007],1,sin_control,38,38,21,21
13120051001010,[151050565000021],1,sin_control,36,36,21,21
13120051002001,[151050395200017],1,sin_control,9,9,12,12
