codigo_predial,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle
151600011100143,307545,V1313210303,JUAN BAUTISTA PASTENES,CALLE
151600011100143,308091,V1313210415,NARCISO GOYCOLEA,CALLE
151600011100146,305624,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600011100146,305919,V1313210025,BICENTENARIO,AVENIDA
151600011100146,305914,V1313210025,BICENTENARIO,AVENIDA
151600011100146,305921,V1313210025,BICENTENARIO,AVENIDA
151600011100146,305616,V1313210003,ALONSO DE CORDOVA,AVENIDA
151600011100154,305730,V1313210011,AVENIDA DEL BICENTENARIO,AVENIDA
151600011100154,305962,V1313210033,DAG HAMMARSKJOLD,AVENIDA
151600011100154,308461,V1313210503,SIN NOMBRE,CALLE
151600011100154,307897,V1313210354,LOS ABEDULES,CALLE
151600011100154,305963,V1313210033,DAG HAMMARSKJOLD,AVENIDA
151600011100532,307468,V1313210289,ISABEL MONTT,CALLE
151600011100532,307474,V1313210289,ISABEL MONTT,CALLE
151600011100532,307475,V1313210289,ISABEL MONTT,CALLE
151600011100532,307479,V1313210289,ISABEL MONTT,CALLE
151600011100532,307483,V1313210289,ISABEL MONTT,CALLE
151600011100532,305919,V1313210025,BICENTENARIO,AVENIDA
151600011100532,307478,V1313210289,ISABEL MONTT,CALLE
151600011100534,305919,V1313210025,BICENTENARIO,AVENIDA
151600011100534,305915,V1313210025,BICENTENARIO,AVENIDA
151600011100534,309166,V1313210673,SIN NOMBRE,PASAJE
151600011190011,305730,V1313210011,AVENIDA DEL BICENTENARIO,AVENIDA
151600011190011,305962,V1313210033,DAG HAMMARSKJOLD,AVENIDA
151600011190011,308461,V1313210503,SIN NOMBRE,CALLE
151600011190011,307897,V1313210354,LOS ABEDULES,CALLE
151600011190011,305963,V1313210033,DAG HAMMARSKJOLD,AVENIDA
151600011190011,305727,V1313210010,AVENIDA DAG HAMMARSKJOLD,AVENIDA
151600011190045,305730,V1313210011,AVENIDA DEL BICENTENARIO,AVENIDA
151600011190045,305962,V1313210033,DAG HAMMARSKJOLD,AVENIDA
151600011190045,306535,V1313210062,VITACURA,AVENIDA
151600011190045,308461,V1313210503,SIN NOMBRE,CALLE
151600011190045,306537,V1313210062,VITACURA,AVENIDA
151600011190045,305727,V1313210010,AVENIDA DAG HAMMARSKJOLD,AVENIDA
151600011190045,305728,V1313210010,AVENIDA DAG HAMMARSKJOLD,AVENIDA
151600011190156,308138,V1313210426,O'BRIEN,CALLE
151600011190156,308092,V1313210415,NARCISO GOYCOLEA,CALLE
151600011190156,307545,V1313210303,JUAN BAUTISTA PASTENES,CALLE
151600011190156,308091,V1313210415,NARCISO GOYCOLEA,CALLE
151600011190156,308141,V1313210426,O'BRIEN,CALLE
151600011190156,308137,V1313210426,O'BRIEN,CALLE
151600011190396,305919,V1313210025,BICENTENARIO,AVENIDA
151600011190396,305921,V1313210025,BICENTENARIO,AVENIDA
151600011190538,308088,V1313210415,NARCISO GOYCOLEA,CALLE
151600011390001,305919,V1313210025,BICENTENARIO,AVENIDA
151600011390001,307307,V1313210244,ESPOZ,CALLE
151600011390099,307307,V1313210244,ESPOZ,CALLE
151600011390311,305919,V1313210025,BICENTENARIO,AVENIDA
151600011390311,305921,V1313210025,BICENTENARIO,AVENIDA
151600011390357,305919,V1313210025,BICENTENARIO,AVENIDA
151600011390357,305915,V1313210025,BICENTENARIO,AVENIDA
151600011390357,305921,V1313210025,BICENTENARIO,AVENIDA
151600011390421,305919,V1313210025,BICENTENARIO,AVENIDA
151600011390421,305921,V1313210025,BICENTENARIO,AVENIDA
151600011590001,307468,V1313210289,ISABEL MONTT,CALLE
151600011590001,307474,V1313210289,ISABEL MONTT,CALLE
151600011590001,307475,V1313210289,ISABEL MONTT,CALLE
151600011590001,307479,V1313210289,ISABEL MONTT,CALLE
151600011590001,305919,V1313210025,BICENTENARIO,AVENIDA
151600011590001,307365,V1313210256,FRANCISCO BERTRAND VERGARA,CALLE
151600011590001,307478,V1313210289,ISABEL MONTT,CALLE
151600011590001,309166,V1313210673,SIN NOMBRE,PASAJE
151600011590052,307479,V1313210289,ISABEL MONTT,CALLE
