codigo_predial|manzent|bypassability|strategic_power
151600055900009|13132011001004|0.0|-10.0
151600055900015|13132011001004|0.0|-55.0
151600055900014|13132011001004|0.0|10.0
151600055900001|13132011001004|0.0|668.0
151600055500004|13132011001007|1.0|-273.0
151600055500020|13132011001007|0.0|220.5
151600055500011|13132011001007|0.0|-363.0
151600055500010|13132011001007|0.0|-185.0
151600055500014|13132011001007|0.437904468412943|-137.0
151600055500015|13132011001007|0.6360787824529991|170.5
151600055500017|13132011001007|0.6360787824529991|170.5
151600055500013|13132011001007|0.6666666666666666|-137.0
151600055500003|13132011001007|0.0|-33.5
151600055500012|13132011001007|0.0|247.5
151600055500016|13132011001007|0.0|375.5
151600054500004|13132011001009|0.9698375870069605|45.0
151600054500005|13132011001009|0.9147253988422984|45.0
151600054500006|13132011001009|0.9699079272400629|44.0
151600054500010|13132011001009|0.9529190207156308|242.0
151600054500011|13132011001009|0.9529190207156308|242.0
151600054500002|13132011001009|0.9548098434004474|46.0
151600054700005|13132011001009|0.8178088803088803|-44.0
151600054500009|13132011001009|1.0|-402.0
151600054700004|13132011001009|0.8998937865108869|-422.0
151600054500001|13132011001009|1.0|-1402.0
151600054500008|13132011001009|0.9237387563551036|-1012.0
151600054700001|13132011001009|1.0|-799.0
151600046500031|13132011001012|0.6935483870967742|-585.0
151600046500032|13132011001012|0.8538812785388128|-580.0
151600011100154|13132011001012|0.6521739130434783|1540.0
151600046500010|13132011001012|0.8184791496320524|-752.0
151600011100006|13132011001012|1.0|5207.0
151600011100140|13132011001012|0.0|7171.0
151600046500012|13132011001012|0.8801313628899836|-681.0
151600011100005|13132011001012|0.6818181818181818|1290.0
151600046500011|13132011001012|0.782336850332161|-731.0
151600046500030|13132011001012|0.7818181818181819|-160.0
151600046500009|13132011001012|0.9070935342121783|-752.0
151600011100139|13132011001012|0.0|4540.0
151600046500019|13132011001012|0.0|740.0
151600054300011|13132011001013|0.6662665066026411|-37.0
151600054300004|13132011001013|0.6666666666666666|37.0
151600054300005|13132011001013|0.6666666666666666|37.0
151600054300012|13132011001013|0.6670673076923077|-38.0
151600051700001|13132011001014|0.6666666666666666|380.0
151600051700002|13132011001014|0.6666666666666666|380.0
151600051700005|13132011001014|0.0|-760.0
151600046300010|13132011001017|0.6334816462736373|425.5
151600046300003|13132011001017|0.0|72.0
151600046300005|13132011001017|0.0|-253.5
151600046300011|13132011001017|0.8259608411892676|91.5
151600046300009|13132011001017|1.0|-163.5
151600053300022|13132011002002|0.0|1571.0
151600053300013|13132011002002|0.9177126917712691|-71.0
151600053300015|13132011002002|0.7809364548494984|-43.0
151600053300014|13132011002002|0.8761726078799249|-43.0
151600053300016|13132011002002|0.8693693693693694|86.0
151600051300009|13132011002003|0.7959527824620574|133.0
151600051300010|13132011002003|0.8602673147023087|0.0
151600051300013|13132011002003|0.0|0.0
151600051300014|13132011002003|1.0|-230.0
151600051300008|13132011002003|0.0|1080.0
151600051300011|13132011002003|1.0|-230.0
151600048300013|13132011002005|0.873317782164005|-25.0
151600048300014|13132011002005|1.0|-47.0
151600048300015|13132011002005|0.9474401401596262|-15.0
151600048300016|13132011002005|1.0|-193.0
151600048300017|13132011002005|0.915736040609137|1283.0
151600048300018|13132011002005|0.7590675755280653|1276.0
151600048300049|13132011002005|1.0|536.0
151600048300024|13132011002005|1.0|0.0
151600048300025|13132011002005|1.0|0.0
151600048300035|13132011002005|0.6030020703933747|195.0
151600048100008|13132011002005|1.0|46.0
151600048100009|13132011002005|0.0|964.0
151600048100010|13132011002005|1.0|77.0
151600048300010|13132011002005|0.6703703703703704|-199.0
151600048300034|13132011002005|0.8930821612677401|1303.0
151600048300012|13132011002005|0.6704617330803289|-34.0
151600048300009|13132011002005|0.663003663003663|-193.0
151600048300036|13132011002005|0.8541055718475073|-178.0
151600048300011|13132011002005|1.0|-212.0
151600048300026|13132011002005|0.0|1566.0
151600048300044|13132011002007|0.6289592760180995|187.5
151600048300042|13132011002007|1.0|-87.0
151600048300043|13132011002007|0.6229193341869398|199.5
151600048300045|13132011002007|1.0|-100.5
151600048300046|13132011002007|0.0|-104.5
151600048100068|13132011002008|0.0|747.0
151600048100025|13132011002008|0.0|-747.0
151600050900002|13132011002009|0.7240621738891635|376.0
151600050900001|13132011002009|0.5716825672159583|251.0
151600050900007|13132011002009|0.7018341432826462|-485.0
151600050900008|13132011002009|0.6975507452625271|-251.0
151600050900301|13132011002009|0.8184227359956137|-1531.0
151600050900005|13132011002009|0.7593484419263457|275.0
151600045700010|13132011002010|0.0|0.0
151600045900033|13132011002011|0.9636780674757564|0.0
151600045900034|13132011002011|0.9750904985484391|0.0
151600045900035|13132011002011|0.9786733493581548|0.0
151600045900036|13132011002011|0.9869850187265917|0.0
151600045900013|13132011002011|0.9316201447348988|0.0
151600045900014|13132011002011|0.9498881189548145|0.0
151600045900015|13132011002011|0.9642373864295379|-1.0
151600045900016|13132011002011|0.9836931018301267|0.0
151600045900004|13132011002011|0.0|865.0
151600045900024|13132011002011|1.0|2.0
151600045900025|13132011002011|0.9824950269963058|170.0
151600045900026|13132011002011|0.9783499574731308|-110.0
151600045900027|13132011002011|0.9660204484087255|2.0
151600045900028|13132011002011|0.9523572028559428|0.0
151600045900029|13132011002011|0.935836260142909|0.0
151600045900007|13132011002011|0.9795053969121464|172.0
151600045900008|13132011002011|0.964947811185543|172.0
151600045900012|13132011002011|0.9075658207394735|0.0
151600045900017|13132011002011|0.9852559002916998|0.0
151600045900011|13132011002011|0.9285563785474643|0.0
151600045900010|13132011002011|0.9426702845613303|0.0
151600045900009|13132011002011|0.9560306818868153|0.0
151600045900030|13132011002011|0.9148325808878857|0.0
151600045900031|13132011002011|0.9302092050209205|0.0
151600045900032|13132011002011|0.9501498578271896|0.0
151600045900041|13132011002011|0.8036951501154734|-78.0
151600045900037|13132011002011|0.8848684210526315|2.0
151600045900038|13132011002011|0.8754925137903862|38.0
151600045900040|13132011002011|0.7963386727688787|-80.0
151600045900022|13132011002011|0.0|170.0
151600045900003|13132011002011|1.0|265.0
151600046100006|13132011002012|0.6666666666666666|0.0
151600046100007|13132011002012|0.6666666666666666|0.0
151600044500004|13132011002015|0.0|618.0
151600044500005|13132011002015|0.8578020851136557|618.0
151600044500007|13132011002015|0.9004427426109848|202.0
151600044500014|13132011002015|0.9497249584239478|-31.5
151600044500008|13132011002015|0.8756458982790281|202.0
