id_combi,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
13132041005030_4226,308904,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,5,"[-70.56916643390223, -33.387481752597004]","POLYGON((-70.56916643390223 -33.387481752597004, -70.56895722159906 -33.387376493260064, -70.56912308284427 -33.38714449539567, -70.56933229476817 -33.38724975446708, -70.56916643390223 -33.387481752597004))"
13132041005030_4226,308906,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,4,5,"[-70.56869347104593, -33.38775796443549]","POLYGON((-70.56869347104593 -33.38775796443549, -70.56891698846384 -33.387865462859715, -70.56875659823277 -33.38810015294119, -70.56853308038747 -33.38799265424368, -70.56869347104593 -33.38775796443549))"
13132041005030_4249,308904,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,6,8,"[-70.56938101062342, -33.387589997881534]","POLYGON((-70.56938101062342 -33.387589997881534, -70.56916643390223 -33.38748249911667, -70.56933177538785 -33.38725024023095, -70.569546351718 -33.38735773872442, -70.56938101062342 -33.387589997881534))"
13132041005030_4249,308904,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,7,8,"[-70.56948829898401, -33.387644493732374]","POLYGON((-70.56948829898401 -33.387644493732374, -70.56938101062342 -33.387589997881534, -70.56954803561656 -33.38735858817081, -70.56965532378501 -33.387413083884425, -70.56948829898401 -33.387644493732374))"
13132041005030_4249,308904,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,8,8,"[-70.56958664664789, -33.38769451044214]","POLYGON((-70.56958664664789 -33.38769451044214, -70.56948829898401 -33.387644493732374, -70.56965547618948 -33.38741316134458, -70.56975382367752 -33.387463177928424, -70.56958664664789 -33.38769451044214))"
13132041005030_4282,308904,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,4,"[-70.56928176888987, -33.38753998111163]","POLYGON((-70.56928176888987 -33.38753998111163, -70.56895722159906 -33.387376493260064, -70.56912323307499 -33.38714457102678, -70.5694477797784 -33.387308058466004, -70.56928176888987 -33.38753998111163))"
13132041005030_4282,308906,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,3,4,"[-70.56869347104593, -33.38775796443549]","POLYGON((-70.56869347104593 -33.38775796443549, -70.56902785310312 -33.3879207050538, -70.56886602584802 -33.38815469992533, -70.56853164315999 -33.38799195889409, -70.56869347104593 -33.38775796443549))"
13132041005030_4296,308905,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,11,"[-70.56987900743052, -33.38741605884137]","POLYGON((-70.56987900743052 -33.38741605884137, -70.56975383767649 -33.387603435217784, -70.56947252119492 -33.38747118613716, -70.56959769138673 -33.38728381002864, -70.56987900743052 -33.38741605884137))"
13132041005030_4296,308905,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,2,11,"[-70.57000685939356, -33.38722047032047]","POLYGON((-70.57000685939356 -33.38722047032047, -70.56987900743052 -33.38741605884137, -70.56959625359406 -33.38728598576494, -70.5697241060243 -33.38709039751855, -70.57000685939356 -33.38722047032047))"
13132041005030_4394,308904,V1313210591,EMBAJADOR DOUSSINAGUE,PASAJE,1,13,"[-70.56981374034449, -33.38751385293683]","POLYGON((-70.56981374034449 -33.38751385293683, -70.56968857059049 -33.38770122910244, -70.56940725378692 -33.387568980021996, -70.56953242397871 -33.38738160412429, -70.56981374034449 -33.38751385293683))"
