id_combi,id_segmento_calle,codigo_calle,nombre_calle,tipo_calle,id_edge,num_edges,edge,geom_wkt
13132011001017_2,307897,V1313210354,LOS ABEDULES,CALLE,4,4,"[-70.60030866870449, -33.406402473532225]","POLYGON((-70.60030866870449 -33.406402473532225, -70.59990007886455 -33.40644576223635, -70.5998596566605 -33.406177375218675, -70.60026824527468 -33.406134086682755, -70.60030866870449 -33.406402473532225))"
13132011001017_53,307897,V1313210354,LOS ABEDULES,CALLE,1,6,"[-70.60030866870449, -33.406402473532225]","POLYGON((-70.60030866870449 -33.406402473532225, -70.60009319791361 -33.40642561060089, -70.60005223761532 -33.40615728099524, -70.6002677077603 -33.40613414401619, -70.60030866870449 -33.406402473532225))"
13132011001017_53,307897,V1313210354,LOS ABEDULES,CALLE,6,6,"[-70.60009319791361, -33.40642561060089]","POLYGON((-70.60009319791361 -33.40642561060089, -70.59980530747936 -33.40645621123065, -70.59976475513784 -33.406187838014, -70.60005264470858 -33.40615723750306, -70.60009319791361 -33.40642561060089))"
13132011002002_33,305655,V1313210005,AMERICO VESPUCIO NORTE,AVENIDA,3,5,"[-70.5904032708125, -33.3949496145683]","POLYGON((-70.5904032708125 -33.3949496145683, -70.5902986646609 -33.3950809906431, -70.59003047863229 -33.39493074073716, -70.59013508502655 -33.39479936487886, -70.5904032708125 -33.3949496145683))"
13132011002002_33,305655,V1313210005,AMERICO VESPUCIO NORTE,AVENIDA,4,5,"[-70.59057582625913, -33.39476598631278]","POLYGON((-70.59057582625913 -33.39476598631278, -70.5904032708125 -33.3949496145683, -70.59014999264784 -33.394782148945716, -70.59032254832593 -33.39459852103181, -70.59057582625913 -33.39476598631278))"
13132011002002_33,306958,V1313210167,CANDELARIA GOYENECHEA,CALLE,5,5,"[-70.59086014041469, -33.394933192545]","POLYGON((-70.59086014041469 -33.394933192545, -70.59057582625913 -33.39476598631278, -70.59076096532426 -33.39454448229476, -70.59104527907719 -33.39471168811921, -70.59086014041469 -33.394933192545))"
13132011002003_16,306672,V1313210075,ALONSO DE SOTOMAYOR,CALLE,6,6,"[-70.59112120875882, -33.39694636018531]","POLYGON((-70.59112120875882 -33.39694636018531, -70.59076358089015 -33.39678886154347, -70.59091350179251 -33.39654934622906, -70.59127112891379 -33.396706844465534, -70.59112120875882 -33.39694636018531))"
13132011002005_310,308368,V1313210490,SAN PATRICIO,CALLE,3,7,"[-70.58966566333339, -33.39871241545774]","POLYGON((-70.58966566333339 -33.39871241545774, -70.5897854686694 -33.3984772918269, -70.59008203395288 -33.398583607529325, -70.58996222929412 -33.39881873142343, -70.58966566333339 -33.39871241545774))"
13132011002005_310,308368,V1313210490,SAN PATRICIO,CALLE,4,7,"[-70.58958877334165, -33.39886468566019]","POLYGON((-70.58958877334165 -33.39886468566019, -70.58966566333339 -33.39871241545774, -70.58996264061048 -33.3988179205403, -70.5898857510595 -33.3989701909118, -70.58958877334165 -33.39886468566019))"
13132011002005_319,308368,V1313210490,SAN PATRICIO,CALLE,3,6,"[-70.58995981225536, -33.39842354919338]","POLYGON((-70.58995981225536 -33.39842354919338, -70.59021193990279 -33.39848699535441, -70.59011926321915 -33.39874610691093, -70.58986713487457 -33.39868266058421, -70.58995981225536 -33.39842354919338))"
13132011002005_319,308368,V1313210490,SAN PATRICIO,CALLE,4,6,"[-70.58986235866116, -33.3983847350485]","POLYGON((-70.58986235866116 -33.3983847350485, -70.58995981225536 -33.39842354919338, -70.58982147407718 -33.39866792050152, -70.58972402026245 -33.39862910625566, -70.58986235866116 -33.3983847350485))"
13132011002005_497,305656,V1313210005,AMERICO VESPUCIO NORTE,AVENIDA,3,5,"[-70.58890659818218, -33.397138941075134]","POLYGON((-70.58890659818218 -33.397138941075134, -70.58872241982984 -33.39759725201908, -70.58841680325416 -33.39751084097779, -70.58860098306738 -33.39705253043945, -70.58890659818218 -33.397138941075134))"
13132011002005_497,307315,V1313210244,ESPOZ,CALLE,4,5,"[-70.589476120563, -33.39733525371351]","POLYGON((-70.589476120563 -33.39733525371351, -70.58890659818218 -33.397138941075134, -70.58902918485333 -33.39688872390027, -70.58959870582957 -33.397085036023526, -70.589476120563 -33.39733525371351))"
13132011002005_497,307315,V1313210244,ESPOZ,CALLE,5,5,"[-70.58952708253432, -33.39735316815272]","POLYGON((-70.58952708253432 -33.39735316815272, -70.589476120563 -33.39733525371351, -70.58960077557633 -33.3970857565125, -70.58965173742322 -33.397103670904755, -70.58952708253432 -33.39735316815272))"
13132011002005_501,305656,V1313210005,AMERICO VESPUCIO NORTE,AVENIDA,2,4,"[-70.58890659818218, -33.397138941075134]","POLYGON((-70.58890659818218 -33.397138941075134, -70.58872241982984 -33.39759725201908, -70.58841680325416 -33.39751084097779, -70.58860098306738 -33.39705253043945, -70.58890659818218 -33.397138941075134))"
13132011002005_501,307315,V1313210244,ESPOZ,CALLE,3,4,"[-70.58923561582135, -33.39725239938412]","POLYGON((-70.58923561582135 -33.39725239938412, -70.58890659818218 -33.397138941075134, -70.58902922784321 -33.39688873872191, -70.5893582446711 -33.39700219673319, -70.58923561582135 -33.39725239938412))"
13132011002005_505,305656,V1313210005,AMERICO VESPUCIO NORTE,AVENIDA,6,9,"[-70.58890659818218, -33.397138941075134]","POLYGON((-70.58890659818218 -33.397138941075134, -70.58872241982984 -33.39759725201908, -70.58841680325416 -33.39751084097779, -70.58860098306738 -33.39705253043945, -70.58890659818218 -33.397138941075134))"
13132011002005_505,307315,V1313210244,ESPOZ,CALLE,7,9,"[-70.589476120563, -33.39733525371351]","POLYGON((-70.589476120563 -33.39733525371351, -70.58890659818218 -33.397138941075134, -70.58902918485333 -33.39688872390027, -70.58959870582957 -33.397085036023526, -70.589476120563 -33.39733525371351))"
13132011002005_505,307315,V1313210244,ESPOZ,CALLE,8,9,"[-70.58954138764905, -33.39735540745736]","POLYGON((-70.58954138764905 -33.39735540745736, -70.589476120563 -33.39733525371351, -70.5895875377272 -33.39708138839233, -70.58965280464416 -33.3971015420832, -70.58954138764905 -33.39735540745736))"
13132011002005_505,307315,V1313210244,ESPOZ,CALLE,9,9,"[-70.58987398156688, -33.397473344086954]","POLYGON((-70.58987398156688 -33.397473344086954, -70.58954138764905 -33.39735540745736, -70.58966696764062 -33.39710623682721, -70.58999956075017 -33.39722417314771, -70.58987398156688 -33.397473344086954))"
13132011002005_510,308368,V1313210490,SAN PATRICIO,CALLE,3,6,"[-70.58995981225536, -33.39842354919338]","POLYGON((-70.58995981225536 -33.39842354919338, -70.59021193990279 -33.39848699535441, -70.59011926321915 -33.39874610691093, -70.58986713487457 -33.39868266058421, -70.58995981225536 -33.39842354919338))"
13132011002005_510,308368,V1313210490,SAN PATRICIO,CALLE,4,6,"[-70.58986235866116, -33.3983847350485]","POLYGON((-70.58986235866116 -33.3983847350485, -70.58995981225536 -33.39842354919338, -70.58982147407718 -33.39866792050152, -70.58972402026245 -33.39862910625566, -70.58986235866116 -33.3983847350485))"
13132011002005_517,307315,V1313210244,ESPOZ,CALLE,4,4,"[-70.58952708253432, -33.39735316815272]","POLYGON((-70.58952708253432 -33.39735316815272, -70.58923561582135 -33.39725239938412, -70.58935851639433 -33.39700229055503, -70.58964998238955 -33.39710305905923, -70.58952708253432 -33.39735316815272))"
13132011002005_541,307315,V1313210244,ESPOZ,CALLE,5,7,"[-70.58952708253432, -33.39735316815272]","POLYGON((-70.58952708253432 -33.39735316815272, -70.58923561582135 -33.39725239938412, -70.58935851639433 -33.39700229055503, -70.58964998238955 -33.39710305905923, -70.58952708253432 -33.39735316815272))"
13132011002008_8,306636,V1313210062,VITACURA,AVENIDA,4,6,"[-70.59084762343929, -33.3997745692013]","POLYGON((-70.59084762343929 -33.3997745692013, -70.59122939118907 -33.39990593798211, -70.59110697797699 -33.40015621602006, -70.59072520928473 -33.40002484689451, -70.59084762343929 -33.3997745692013))"
13132011002009_2,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,4,4,"[-70.59260625848339, -33.39913115787248]","POLYGON((-70.59260625848339 -33.39913115787248, -70.59254724988507 -33.39878033994376, -70.59286660355023 -33.398742547435795, -70.59292561339414 -33.39909336517731, -70.59260625848339 -33.39913115787248))"
13132011002009_28,307190,V1313210218,EDUARDO MARQUINA,CALLE,4,5,"[-70.59176404485272, -33.399246852836264]","POLYGON((-70.59176404485272 -33.399246852836264, -70.59184451112317 -33.39957079791542, -70.59152877153207 -33.399625975074485, -70.59144830636569 -33.39930202976004, -70.59176404485272 -33.399246852836264))"
13132011002009_28,307189,V1313210218,EDUARDO MARQUINA,CALLE,5,5,"[-70.59167910823392, -33.398903499590716]","POLYGON((-70.59167910823392 -33.398903499590716, -70.59176404485272 -33.399246852836264, -70.59144825258663 -33.39930181280459, -70.59136331713873 -33.39895845931048, -70.59167910823392 -33.398903499590716))"
13132011002009_36,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,3,7,"[-70.59266169080303, -33.39946331396776]","POLYGON((-70.59266169080303 -33.39946331396776, -70.59254724988507 -33.39878033994376, -70.59286662726086 -33.39874268866689, -70.59298107060441 -33.39942566232754, -70.59266169080303 -33.39946331396776))"
13132011002009_36,306964,V1313210167,CANDELARIA GOYENECHEA,CALLE,4,7,"[-70.59267152556943, -33.399519295207114]","POLYGON((-70.59267152556943 -33.399519295207114, -70.59266169080303 -33.39946331396776, -70.59298076414672 -33.399423876688395, -70.59299059911126 -33.399479857896836, -70.59267152556943 -33.399519295207114))"
13132011002009_38,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,2,5,"[-70.59266169080303, -33.39946331396776]","POLYGON((-70.59266169080303 -33.39946331396776, -70.59254724988507 -33.39878033994376, -70.59286662726086 -33.39874268866689, -70.59298107060441 -33.39942566232754, -70.59266169080303 -33.39946331396776))"
13132011002009_42,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,2,5,"[-70.59266169080303, -33.39946331396776]","POLYGON((-70.59266169080303 -33.39946331396776, -70.59260536441371 -33.399131904292084, -70.59292465395426 -33.39909372496864, -70.59298098151939 -33.39942513446604, -70.59266169080303 -33.39946331396776))"
13132011002009_42,307190,V1313210218,EDUARDO MARQUINA,CALLE,4,5,"[-70.59176404485272, -33.399246852836264]","POLYGON((-70.59176404485272 -33.399246852836264, -70.59184451112317 -33.39957079791542, -70.59152877153207 -33.399625975074485, -70.59144830636569 -33.39930202976004, -70.59176404485272 -33.399246852836264))"
13132011002009_48,306964,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,6,"[-70.59274215707347, -33.399946990685365]","POLYGON((-70.59274215707347 -33.399946990685365, -70.59267063149976 -33.399520041623376, -70.59299001291033 -33.39948239835429, -70.59306154000043 -33.399909347189165, -70.59274215707347 -33.399946990685365))"
13132011002009_52,307189,V1313210218,EDUARDO MARQUINA,CALLE,2,4,"[-70.59167910823392, -33.398903499590716]","POLYGON((-70.59167910823392 -33.398903499590716, -70.59176493892238 -33.39924610641764, -70.59144931348372 -33.39930173651191, -70.59136348396142 -33.39895912943441, -70.59167910823392 -33.398903499590716))"
13132011002009_6,307190,V1313210218,EDUARDO MARQUINA,CALLE,3,4,"[-70.59176404485272, -33.399246852836264]","POLYGON((-70.59176404485272 -33.399246852836264, -70.59184451112317 -33.39957079791542, -70.59152877153207 -33.399625975074485, -70.59144830636569 -33.39930202976004, -70.59176404485272 -33.399246852836264))"
13132011002009_61,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,3,9,"[-70.59267152556943, -33.399519295207114]","POLYGON((-70.59267152556943 -33.399519295207114, -70.59260536441371 -33.399131904292084, -70.59292462295981 -33.399093543050874, -70.5929907854895 -33.39948093375673, -70.59267152556943 -33.399519295207114))"
13132011002009_61,306964,V1313210167,CANDELARIA GOYENECHEA,CALLE,4,9,"[-70.59274215707347, -33.399946990685365]","POLYGON((-70.59274215707347 -33.399946990685365, -70.59267152556943 -33.399519295207114, -70.59299099434773 -33.399482177196205, -70.59306162737232 -33.39990987244944, -70.59274215707347 -33.399946990685365))"
13132011002009_62,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,2,5,"[-70.59267152556943, -33.399519295207114]","POLYGON((-70.59267152556943 -33.399519295207114, -70.59260536441371 -33.399131904292084, -70.59292462295981 -33.399093543050874, -70.5929907854895 -33.39948093375673, -70.59267152556943 -33.399519295207114))"
13132011002009_63,306952,V1313210167,CANDELARIA GOYENECHEA,CALLE,1,5,"[-70.59260625848339, -33.39913115787248]","POLYGON((-70.59260625848339 -33.39913115787248, -70.59254724988507 -33.39878033994376, -70.59286660355023 -33.398742547435795, -70.59292561339414 -33.39909336517731, -70.59260625848339 -33.39913115787248))"
13132011002009_63,307189,V1313210218,EDUARDO MARQUINA,CALLE,3,5,"[-70.59167910823392, -33.398903499590716]","POLYGON((-70.59167910823392 -33.398903499590716, -70.59176493892238 -33.39924610641764, -70.59144931348372 -33.39930173651191, -70.59136348396142 -33.39895912943441, -70.59167910823392 -33.398903499590716))"
13132011002011_1043,306636,V1313210062,VITACURA,AVENIDA,2,13,"[-70.59025217303801, -33.39976785147424]","POLYGON((-70.59025217303801 -33.39976785147424, -70.59003938445613 -33.39969470285684, -70.59016169252699 -33.399444388756024, -70.5903744805833 -33.39951753718145, -70.59025217303801 -33.39976785147424))"
13132011002011_1043,306636,V1313210062,VITACURA,AVENIDA,3,13,"[-70.59042115220592, -33.39982607175835]","POLYGON((-70.59042115220592 -33.39982607175835, -70.59025217303801 -33.39976785147424, -70.59037471848019 -33.399517619053995, -70.59054369723121 -33.39957583918531, -70.59042115220592 -33.39982607175835))"
13132011002011_1043,306636,V1313210062,VITACURA,AVENIDA,4,13,"[-70.5905168176608, -33.3998589139527]","POLYGON((-70.5905168176608 -33.3998589139527, -70.59042115220592 -33.39982607175835, -70.59054332042456 -33.399575709593414, -70.590638985643 -33.39960855170158, -70.5905168176608 -33.3998589139527))"
13132011002011_1043,307228,V1313210226,EL COIGUE,CALLE,8,13,"[-70.5900814057307, -33.4003418420591]","POLYGON((-70.5900814057307 -33.4003418420591, -70.59028078326747 -33.40041125808869, -70.59015713612905 -33.40066110934661, -70.58995775810298 -33.400591693134906, -70.5900814057307 -33.4003418420591))"
13132011002011_1043,307228,V1313210226,EL COIGUE,CALLE,9,13,"[-70.589890074821, -33.400275411613265]","POLYGON((-70.589890074821 -33.400275411613265, -70.5900814057307 -33.4003418420591, -70.58995805033102 -33.40059179473757, -70.58976671895113 -33.40052536411745, -70.589890074821 -33.400275411613265))"
13132011002011_1043,307228,V1313210226,EL COIGUE,CALLE,10,13,"[-70.5897890449481, -33.40024033034608]","POLYGON((-70.5897890449481 -33.40024033034608, -70.589890074821 -33.400275411613265, -70.5897667089054 -33.40052536062938, -70.58966567878423 -33.40049027927016, -70.5897890449481 -33.40024033034608))"
